Reference,Species,Family,Observations,Pub,"Seed
size (mg)","Exp.
cond","Census
time (months)","Life
form",r_survival,n_survival,r_growth,n_growth,r_fecundity,n_fecundity
Battaglia 1996,Eucalyptus amygdalyna,Myrtaceae,Mild site,1,12,F,12,P,-0.092,2601,,,,
"Kachi and Hirose 
        1990",Oenothera glazioviana,Onagraceae,,1,0.6,F,12,P,0.257,1588,,,,
Herranz et. al. 1996,Pinus halepensis,Pinaceae,,1,16.1,F,30,P,0.213,465,,,,
"Dunlap and Barnett 
        1982",Pinus taeda,Pinaceae,,1,41,NF,,P,,,-0.96,300,,
Kalisz 1989,Collinsia verna,Scrophulariaceae,Outcrossed,1,0.332,NF,,A,,,,,-0.03,182
Kalisz 1989,Collinsia verna,Scrophulariaceae,Selfed,1,0.332,NF,,A,,,,,0.02,176
Howell 1981,Impatiens capensis,Balsaminaceae,,1,10,F,,A,-0.31,434,,,-0.32,410
Biere 1991,Lychnis flos-cuculi,Caryophyllaceae,,1,168,F,16,P,-0.056,1606,0.001,335,,
"Tremlett et. al. 
        1984",Conium maculatum,Umbelliferae,,1,1.9,F,8.5,P,-0.112,3530,,,,
"Zimmerman and Weis 
        1984",Xanthium strumarium,Compositae,Low density,1,,F,4,A,-0.252,144,,,,
"Zimmerman and Weis 
        1984",Xanthium strumarium,Compositae,High density,1,,F,4,A,-0.257,371,,,,
Ross and Harper 1972,Dactylis glomerata,Gramineae,,1,1.1108,NF,2,P,,,,,-0.2569,12540
"Dolan and Sharitz 
        1984",Ludwigia leptocarpa,Onagraceae,,1,0.1,F,12,A,-0.005,915,-0.075,184,,
Streng et. al. 1989,Carpinus caroliniana,Betulaceae,,1,1.5,F,36,P,-0.105,961,,,,
Kelly 1992,Chamaecrista fasciculata,Leguminosae,site1,1,,F,3,A,0.027,554,0.26,554,0.003,178
Kelly 1992,Chamaecrista fasciculata,Leguminosae,site2,1,,F,3,A,-0.01,522,0.24,522,,
Roach 1986,Geranium carolinianum,Geraniaceae,,1,2.5,NF,6,A,,,-0.27,117,-0.24,122
"Wang and Lechowicz 
        1998",Pinus banksiana,Pinaceae,,1,3.6,NF,4,P,0.008,384,-0.9881,384,,
"Wang and Lechowicz 
        1998",Picea mariana,Pinaceae,,1,1.12,NF,4,P,0.214,384,-0.977,384,,
"Weaver and Cavers 
        1978",Rumex crispus,Polygonaceae,Population 1,1,1.33,F,5,P,-0.02,1181,,,,
"Weaver and Cavers 
        1978",Rumex crispus,Polygonaceae,Population 2,1,1.33,F,5,P,-0.075,942,,,,
"Weaver and Cavers 
        1978",Rumex crispus,Polygonaceae,Population3,1,1.33,F,5,P,-0.248,621,,,,
"Weaver and Cavers 
        1978",Rumex obtusifolius,Polygonaceae,Population 1,1,1.1,F,5,P,-0.067,894,,,,
